epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,4776.73,0.74255,0.56647,1.00282,0.8691,0.86935,0.91696,0.74959,0.7331,0.49568,1.02748,0.0044065,0.0044065,0.0044065
115,4818.51,0.73769,0.55958,1.0063,0.88699,0.85944,0.91686,0.74502,0.75506,0.5015,1.03341,0.004357,0.004357,0.004357
116,4860.18,0.7318,0.56603,1.00742,0.88803,0.86541,0.91987,0.74666,0.75724,0.49895,1.03626,0.0043075,0.0043075,0.0043075
117,4901.86,0.73477,0.55501,1.00431,0.88003,0.86492,0.91855,0.74703,0.74848,0.49454,1.03304,0.004258,0.004258,0.004258
118,4943.03,0.73362,0.55942,1.00609,0.87406,0.86595,0.91798,0.75013,0.74058,0.49642,1.03212,0.0042085,0.0042085,0.0042085
119,4984.35,0.72958,0.55568,1.00224,0.88704,0.85835,0.91745,0.74777,0.74077,0.49825,1.03283,0.004159,0.004159,0.004159
120,5025.87,0.72774,0.55542,1.00514,0.88835,0.86185,0.91652,0.74969,0.73778,0.49367,1.03325,0.0041095,0.0041095,0.0041095
121,5067.39,0.72276,0.5465,0.99966,0.88969,0.86016,0.9161,0.74623,0.74757,0.50153,1.04566,0.00406,0.00406,0.00406
122,5109.1,0.72316,0.55199,1.00662,0.88652,0.85852,0.9136,0.74588,0.74548,0.50422,1.04119,0.0040105,0.0040105,0.0040105
123,5150.9,0.72113,0.54528,1.00466,0.88167,0.86709,0.91495,0.7472,0.74928,0.50762,1.04517,0.003961,0.003961,0.003961
124,5192.66,0.71793,0.544,0.99996,0.87866,0.86445,0.91313,0.74446,0.76012,0.51463,1.04859,0.0039115,0.0039115,0.0039115
125,5234.28,0.72112,0.54302,0.99696,0.87813,0.86329,0.91517,0.7484,0.74865,0.50796,1.04329,0.003862,0.003862,0.003862
126,5275.83,0.71594,0.54084,0.9969,0.88235,0.8632,0.91709,0.74642,0.75524,0.50657,1.04483,0.0038125,0.0038125,0.0038125
127,5317.33,0.72127,0.53781,0.99938,0.88003,0.86572,0.9166,0.74603,0.76783,0.50305,1.05086,0.003763,0.003763,0.003763
128,5359.05,0.71866,0.53918,0.9938,0.8919,0.86325,0.91721,0.74878,0.76564,0.4993,1.04056,0.0037135,0.0037135,0.0037135
129,5400.58,0.71139,0.53865,0.98978,0.89611,0.85985,0.9163,0.74939,0.75328,0.49755,1.03538,0.003664,0.003664,0.003664
130,5442.11,0.71444,0.53857,0.98931,0.8935,0.86029,0.91452,0.74839,0.7536,0.50329,1.03508,0.0036145,0.0036145,0.0036145
131,5483.76,0.70034,0.53731,0.98406,0.90477,0.85243,0.91669,0.75072,0.74241,0.50239,1.03634,0.003565,0.003565,0.003565
132,5525.57,0.7061,0.52835,0.98946,0.89022,0.86504,0.9165,0.75097,0.74214,0.50182,1.03942,0.0035155,0.0035155,0.0035155
133,5567.29,0.70065,0.52752,0.98628,0.88864,0.865,0.9171,0.75143,0.74161,0.50503,1.0326,0.003466,0.003466,0.003466
134,5609.02,0.69859,0.52544,0.9853,0.88056,0.86734,0.91574,0.75073,0.74209,0.50424,1.02772,0.0034165,0.0034165,0.0034165
135,5650.59,0.69498,0.51848,0.98619,0.88836,0.85606,0.91521,0.74836,0.75049,0.51514,1.03119,0.003367,0.003367,0.003367
136,5692.25,0.69436,0.51757,0.98707,0.8895,0.85743,0.91558,0.74916,0.74861,0.51092,1.03466,0.0033175,0.0033175,0.0033175
137,5733.82,0.69465,0.51863,0.98971,0.89674,0.85311,0.91573,0.74921,0.7503,0.51101,1.03975,0.003268,0.003268,0.003268
138,5775.54,0.69445,0.52389,0.98555,0.89253,0.85713,0.91687,0.75083,0.74621,0.51452,1.04032,0.0032185,0.0032185,0.0032185
139,5817.22,0.69877,0.51898,0.98434,0.88607,0.8611,0.91607,0.75011,0.75239,0.51369,1.04136,0.003169,0.003169,0.003169
140,5858.76,0.68771,0.51631,0.98426,0.885,0.86248,0.91568,0.7492,0.76143,0.5183,1.04655,0.0031195,0.0031195,0.0031195
141,5900.75,0.68461,0.51209,0.97839,0.87806,0.87056,0.91707,0.74801,0.76875,0.52038,1.0496,0.00307,0.00307,0.00307
